时间,体育、娱乐用品类商品零售类值_当期值,体育、娱乐用品类商品零售类值_累计值,体育、娱乐用品类商品零售类值_同比增长,体育、娱乐用品类商品零售类值_累计增长
2025年6月,164.9,857.6,9.5,22.2
2025年5月,161.7,690.8,28.3,25.7
2025年4月,131.8,532.4,23.3,24.9
2025年3月,151.5,399.0,26.2,25.4
2025年2月,,247.2,,25.0
2024年9月,109.2,991.3,6.2,9.7
2024年8月,103.6,877.6,3.2,10.1
2024年7月,104.9,773.8,10.7,11.1
2024年6月,142.1,667.9,-1.5,11.2
2024年12月,133.7,1415.4,16.7,11.1
2024年11月,148.3,1282.8,3.5,10.5
2024年10月,135.8,1128.5,26.7,11.5
