时间,烟煤和无烟煤开采洗选工业生产者出厂价格指数(上年同月=100),褐煤开采洗选工业生产者出厂价格指数(上年同月=100)
2025年6月,77.6,97.8
2025年5月,81.4,97.3
2025年4月,84.4,97.4
2025年3月,84.7,97.4
2025年2月,87.2,95.4
2025年1月,89.6,98.4
2024年9月,97.2,105.1
2024年8月,99.7,103.8
2024年7月,100.2,105.2
2024年6月,98.2,104.7
2024年12月,91.6,105.5
2024年11月,93.3,105.4
2024年10月,94.1,105.4
