时间,家用冷柜（家用冷冻箱）产量_当期值,家用冷柜（家用冷冻箱）产量_累计值,家用冷柜（家用冷冻箱）产量_同比增长,家用冷柜（家用冷冻箱）产量_累计增长
2025年5月,201.0,1077.8,0.6,-5.7
2025年4月,204.3,876.9,-15.3,-7.0
2025年3月,251.9212,672.5496,-12.1,-4.2
2024年12月,272.9166,2761.4884,4.9,13.3
2024年11月,244.383,2488.4269,6.2,14.3
2024年10月,217.2773,2244.0432,14.0,15.2
2024年9月,242.3087,2002.7567,20.5,14.0
2024年8月,216.1058,1747.7671,4.2,13.0
2024年7月,196.7533,1543.123,-3.2,14.5
2024年6月,203.1649,1346.3241,-2.4,18.4
2025年2月,,387.7,,-5.3
