时间,燃气生产和供应业工业生产者出厂价格指数(上年同月=100),生物质燃气生产和供应业工业生产者出厂价格指数(上年同月=100)
2025年6月,100.0,100.0
2025年5月,99.9,100.0
2025年4月,99.5,100.0
2025年3月,99.4,100.0
2025年2月,98.5,100.0
2025年1月,97.6,100.0
2024年12月,98.3,100.0
2024年11月,99.4,100.0
2024年10月,100.1,100.0
2024年9月,100.4,100.0
2024年8月,100.0,100.0
2024年7月,100.2,100.0
2024年6月,99.8,100.0
