时间,精炼石油产品制造工业生产者出厂价格指数(上年同月=100),煤炭加工工业生产者出厂价格指数(上年同月=100),生物质燃料加工工业生产者出厂价格指数(上年同月=100)
2025年6月,89.6,70.5,100.4
2025年5月,87.6,72.7,99.2
2025年4月,90.7,78.7,97.0
2025年3月,95.5,75.3,96.1
2025年2月,98.4,75.3,96.9
2025年1月,97.1,77.4,96.4
2024年9月,91.8,84.8,97.4
2024年8月,98.3,91.0,96.9
2024年7月,104.9,102.4,97.3
2024年6月,104.7,101.6,97.4
2024年12月,93.8,78.6,95.6
2024年11月,89.2,84.4,95.9
2024年10月,86.7,83.4,95.7
