时间,采矿业增加值_同比增长,采矿业增加值_累计增长,制造业增加值_同比增长,制造业增加值_累计增长,电力、热力、燃气及水生产和供应业增加值_同比增长,电力、热力、燃气及水生产和供应业增加值_累计增长
2025年5月,5.7,6.0,6.2,6.9,2.2,2.0
2025年4月,5.7,6.0,6.6,7.1,2.1,2.0
2025年3月,9.3,6.2,7.9,7.1,3.5,1.9
2024年12月,2.4,3.1,7.4,6.1,1.1,5.3
2024年11月,4.2,3.2,6.0,5.9,1.6,5.8
2024年10月,4.6,3.1,5.4,5.9,5.4,6.2
2024年9月,3.7,2.9,5.2,6.0,10.1,6.3
2024年8月,3.7,2.9,4.3,6.1,6.8,5.8
2024年7月,4.6,2.8,5.3,6.3,4.0,5.7
2024年6月,4.4,2.4,5.5,6.5,4.8,6.0
2025年2月,,4.3,,6.9,,1.1
