时间,铅产量_当期值,铅产量_累计值,铅产量_同比增长,铅产量_累计增长
2025年6月,66.0,384.9,3.1,-1.0
2025年5月,64.9,321.6,-5.7,-1.0
2025年4月,66.4,256.9,-1.0,0.5
2025年3月,73.7,189.9,2.4,0.8
2025年2月,,117.4,,1.8
2024年9月,68.2,575.7,-3.7,-4.3
2024年8月,64.3,508.1,1.7,-8.9
2024年7月,62.6,451.4,1.1,-2.1
2024年6月,63.9,388.9,0.2,-3.7
2024年12月,69.0,763.7,6.0,-4.6
2024年11月,65.9,695.4,-4.6,-5.6
2024年10月,66.1,636.8,-5.3,-5.5
