时间,酒、饮料和精制茶制造业出口交货值_当期值,酒、饮料和精制茶制造业出口交货值_累计值,酒、饮料和精制茶制造业出口交货值_同比增长,酒、饮料和精制茶制造业出口交货值_累计增长
2025年6月,25.2,123.9,31.0,7.3
2025年5月,18.3,97.7,-13.1,2.0
2025年4月,22.4,79.3,-0.4,6.3
2025年3月,23.4,56.8,7.5,8.0
2025年2月,,33.3,,8.2
2024年9月,20.5,174.5,12.3,5.6
2024年8月,19.6,153.7,3.5,5.0
2024年7月,18.9,133.8,4.8,5.0
2024年6月,19.1,114.4,-19.8,4.5
2024年12月,29.7,245.3,35.1,6.4
2024年11月,21.0,217.1,-5.0,4.1
2024年10月,21.4,196.0,4.9,5.1
