时间,钢材产量_当期值,钢材产量_累计值,钢材产量_同比增长,钢材产量_累计增长
2025年5月,12743.1,60581.9,3.4,5.2
2025年4月,12508.9,48020.8,6.6,6.0
2025年3月,13442.1445,35873.75529,8.3,6.1
2024年12月,11910.28172,139967.41815,7.1,1.1
2024年11月,11881.1068,128303.88068,5.1,0.9
2024年10月,11940.81613,116484.22396,3.5,0.5
2024年9月,11731.27519,104447.97617,-2.4,-0.1
2024年8月,11089.8266,92573.21229,-6.5,0.4
2024年7月,11435.8956,81340.55926,-4.0,1.3
2024年6月,12554.55701,70101.64388,3.2,2.8
2025年2月,,22408.6,,4.7
