时间,铁路、船舶、航空航天和其他运输设备制造业出口交货值_当期值,铁路、船舶、航空航天和其他运输设备制造业出口交货值_累计值,铁路、船舶、航空航天和其他运输设备制造业出口交货值_同比增长,铁路、船舶、航空航天和其他运输设备制造业出口交货值_累计增长
2025年6月,453.7,2270.2,22.1,24.0
2025年5月,391.8,1805.7,21.6,20.4
2025年4月,354.6,1412.6,17.6,19.9
2025年3月,404.1,1038.5,22.6,19.8
2025年2月,,633.6,,20.0
2024年9月,335.0,2727.6,28.8,23.3
2024年8月,309.2,2396.2,24.8,23.8
2024年7月,289.6,2079.9,16.1,21.7
2024年6月,350.7,1782.4,17.7,22.2
2024年12月,412.0,3863.0,32.5,24.2
2024年11月,335.5,3427.8,31.9,25.3
2024年10月,297.8,3028.5,26.5,22.0
