时间,规模以上文化及相关产业企业利润总额_累计值,规模以上文化及相关产业企业利润总额_累计增长
2025年第一季度,2744.0,29.1
2024年第四季度,12909.0,10.8
2024年第二季度,5250.0,8.9
2024年第三季度,7903.0,3.9
2024年第一季度,2116.0,5.8
