时间,电力、热力生产和供应业出口交货值_当期值,电力、热力生产和供应业出口交货值_累计值,电力、热力生产和供应业出口交货值_同比增长,电力、热力生产和供应业出口交货值_累计增长
2025年6月,13.3,66.0,12.0,6.9
2025年5月,10.2,52.8,-1.4,1.9
2025年4月,12.4,45.5,48.1,15.5
2025年3月,11.6,32.5,14.7,0.8
2025年2月,,25.9,,3.0
2024年9月,12.4,94.6,16.4,-7.6
2024年8月,12.7,80.3,0.4,-13.6
2024年7月,13.3,67.1,-1.2,-15.7
2024年6月,10.8,55.0,-19.4,-19.9
2024年12月,11.1,133.5,-12.9,-3.9
2024年11月,11.4,125.3,23.1,-1.1
2024年10月,11.0,110.1,69.7,-5.6
