时间,精制食用植物油产量_当期值,精制食用植物油产量_累计值,精制食用植物油产量_同比增长,精制食用植物油产量_累计增长
2025年5月,435.1,2062.6,7.1,3.7
2025年4月,387.5,1637.4,1.8,3.4
2025年3月,440.4,1264.8,-0.3,5.4
2024年12月,527.4,5157.0,5.2,4.7
2024年11月,467.0,4634.2,4.8,4.5
2024年10月,419.1,4166.0,2.0,4.5
2024年9月,480.7,3752.7,7.4,4.9
2024年8月,445.8,3263.6,-1.1,4.1
2024年7月,399.2,2818.2,-0.2,4.5
2024年6月,438.6,2416.0,3.2,4.7
2025年2月,,815.8,,6.3
