时间,建筑及装潢材料类商品零售类值_当期值,建筑及装潢材料类商品零售类值_累计值,建筑及装潢材料类商品零售类值_同比增长,建筑及装潢材料类商品零售类值_累计增长
2025年5月,137.5,663.3,5.8,3.0
2025年4月,138.0,530.2,9.7,2.3
2025年3月,151.2,395.3,-0.1,0.0
2024年12月,185.8,1692.2,0.8,-2.0
2024年11月,171.2,1509.9,2.9,-2.3
2024年10月,149.6,1336.9,-5.8,-3.0
2024年9月,142.8,1185.8,-6.6,-2.6
2024年8月,128.8,1040.0,-6.7,-2.0
2024年7月,130.2,911.4,-2.1,-1.3
2024年6月,150.5,781.8,-4.4,-1.2
2025年2月,,245.6,,0.1
