时间,石油开采工业生产者出厂价格指数(上年同月=100),天然气开采工业生产者出厂价格指数(上年同月=100)
2025年6月,82.5,102.4
2025年5月,76.4,103.3
2025年4月,80.2,104.4
2025年3月,87.4,104.2
2025年2月,94.9,101.9
2025年1月,97.8,101.2
2024年9月,85.6,102.8
2024年8月,94.5,102.5
2024年7月,108.3,101.5
2024年6月,110.4,101.5
2024年12月,91.1,101.6
2024年11月,82.3,103.2
2024年10月,79.9,102.7
