时间,大气污染防治设备产量_当期值,大气污染防治设备产量_累计值,大气污染防治设备产量_同比增长,大气污染防治设备产量_累计增长
2025年5月,27269.0,123937.0,-31.2,-23.2
2025年4月,26464.0,96654.0,-24.9,-20.3
2025年3月,26124.0,70231.0,-25.6,-18.4
2024年12月,37808.0,414015.0,-19.2,-30.9
2024年11月,33640.0,376015.0,-43.1,-31.4
2024年10月,34242.0,342297.0,-38.6,-30.6
2024年9月,33745.0,307790.0,-44.1,-29.6
2024年8月,30532.0,273984.0,-43.9,-27.2
2024年7月,32669.0,243183.0,-38.7,-25.2
2024年6月,38705.0,209507.0,-30.1,-16.0
2025年2月,,43513.0,,-21.1
