时间,木材加工工业生产者出厂价格指数(上年同月=100),人造板制造工业生产者出厂价格指数(上年同月=100),木制品制造工业生产者出厂价格指数(上年同月=100),竹、藤、棕、草制品制造工业生产者出厂价格指数(上年同月=100)
2025年6月,98.8,95.0,99.8,98.5
2025年5月,98.2,95.6,99.4,98.6
2025年4月,97.8,96.1,99.4,99.2
2025年3月,98.6,96.3,99.5,99.7
2025年2月,98.9,96.9,99.1,99.7
2025年1月,98.7,97.2,99.2,99.6
2024年12月,98.5,98.1,99.2,99.7
2024年11月,99.3,98.9,98.8,100.4
2024年10月,100.0,99.6,98.8,100.4
2024年9月,100.2,99.5,98.9,100.5
2024年8月,100.8,99.7,98.9,100.4
2024年7月,100.1,99.8,98.4,100.7
2024年6月,99.5,99.6,98.8,101.0
