时间,微型计算机设备产量_当期值,微型计算机设备产量_累计值,微型计算机设备产量_同比增长,微型计算机设备产量_累计增长
2025年5月,2993.5,13484.1,8.1,5.5
2025年4月,2549.1,10491.5,-2.2,4.7
2025年3月,3211.69,7955.5585,7.8,7.5
2024年12月,3380.1194,33912.9035,8.9,2.7
2024年11月,2782.9552,30553.5414,-6.4,2.1
2024年10月,2856.0648,27770.1853,4.6,3.0
2024年9月,3267.9234,24900.5898,2.6,2.9
2024年8月,3158.6031,21665.3283,5.5,2.9
2024年7月,2829.505,18552.0607,12.1,2.7
2024年6月,2964.7037,15730.0653,-1.9,1.0
2025年2月,,4700.1,,7.2
