时间,家用器具居民消费价格指数(上年同月=100),家庭服务居民消费价格指数(上年同月=100)
2025年6月,101.0,101.7
2025年5月,99.8,101.7
2025年4月,99.8,101.7
2025年3月,99.7,101.7
2025年2月,96.7,101.8
2025年1月,96.5,104.7
2024年9月,98.0,101.5
2024年8月,98.2,101.6
2024年7月,98.2,101.7
2024年6月,98.7,101.7
2024年12月,96.7,101.7
2024年11月,96.9,101.5
2024年10月,96.7,101.5
