时间,土砂石开采工业生产者出厂价格指数(上年同月=100),化学矿开采工业生产者出厂价格指数(上年同月=100),采盐工业生产者出厂价格指数(上年同月=100),石棉及其他非金属矿采选工业生产者出厂价格指数(上年同月=100)
2025年6月,98.4,105.9,87.7,98.6
2025年5月,98.9,107.6,90.0,98.9
2025年4月,99.2,109.5,91.2,99.1
2025年3月,98.8,109.4,91.7,99.5
2025年2月,99.2,109.6,90.0,99.4
2025年1月,99.0,109.8,91.1,99.3
2024年12月,98.5,112.5,91.9,99.2
2024年11月,98.3,111.0,94.3,98.9
2024年10月,98.5,112.8,99.0,98.8
2024年9月,99.0,117.2,103.8,99.3
2024年8月,98.8,115.5,105.0,99.6
2024年7月,98.3,113.0,101.8,99.2
2024年6月,97.3,105.7,100.0,99.1
