时间,日用品类商品零售类值_当期值,日用品类商品零售类值_累计值,日用品类商品零售类值_同比增长,日用品类商品零售类值_累计增长
2025年5月,741.3,3507.3,8.0,7.2
2025年4月,644.3,2767.0,7.6,7.0
2025年3月,741.2,2129.3,8.8,6.8
2024年12月,737.9,8091.2,6.3,3.0
2024年11月,757.7,7351.7,1.3,2.7
2024年10月,692.0,6556.3,8.5,2.9
2024年9月,669.4,5847.9,3.0,2.2
2024年8月,639.2,5166.7,1.3,2.2
2024年7月,593.7,4515.1,2.1,2.3
2024年6月,716.5,3923.2,0.3,2.3
2025年2月,,1385.7,,5.7
