时间,智能手机产量_当期值,智能手机产量_累计值,智能手机产量_同比增长,智能手机产量_累计增长
2025年5月,9099.6,45136.3,-1.7,-2.1
2025年4月,8611.2,36037.7,-6.4,-2.2
2025年3月,11085.7427,27413.5609,7.0,-1.1
2024年12月,12976.9593,124665.9888,-1.0,8.2
2024年11月,12556.3518,111690.8945,3.7,9.3
2024年10月,11691.2024,99029.4653,6.1,10.0
2024年9月,12247.1184,87253.6418,9.8,10.5
2024年8月,9709.344,75126.4144,8.9,10.4
2024年7月,9233.584,65381.1249,4.9,10.6
2024年6月,9978.9774,56254.6085,6.4,11.8
2025年2月,,16166.5,,-6.8
