时间,发电机组（发电设备）产量_当期值,发电机组（发电设备）产量_累计值,发电机组（发电设备）产量_同比增长,发电机组（发电设备）产量_累计增长
2025年5月,3274.7,13742.9,43.1,75.9
2025年4月,3147.2,10531.2,124.2,90.8
2025年3月,3319.43406,7414.97301,107.2,75.0
2024年12月,4225.871,28433.86833,17.9,16.0
2024年11月,3147.19183,24115.28584,-0.7,16.0
2024年10月,2502.2665,21045.19114,14.2,18.9
2024年9月,3052.01408,18475.78062,7.5,19.0
2024年8月,2317.81635,15482.65297,43.4,22.7
2024年7月,2031.32122,13127.69558,86.0,19.8
2024年6月,3365.56221,11109.26535,38.2,14.4
2025年2月,,4056.2,,66.0
