时间,食品制造业出口交货值_当期值,食品制造业出口交货值_累计值,食品制造业出口交货值_同比增长,食品制造业出口交货值_累计增长
2025年5月,110.7,573.4,-0.9,3.1
2025年4月,115.3,460.5,2.3,3.5
2025年3月,127.0,346.5,2.2,4.4
2024年12月,137.6,1393.5,10.2,4.3
2024年11月,122.2,1254.4,3.7,3.7
2024年10月,117.6,1130.7,9.8,3.7
2024年9月,118.2,1012.4,4.0,1.7
2024年8月,111.3,895.4,-1.1,1.9
2024年7月,111.9,779.5,4.7,1.7
2024年6月,115.6,666.6,2.2,1.5
2025年2月,,222.1,,6.2
