时间,合成洗涤剂产量_当期值,合成洗涤剂产量_累计值,合成洗涤剂产量_同比增长,合成洗涤剂产量_累计增长
2025年6月,96.33535,538.61049,5.1,1.3
2025年5月,89.9,442.0,0.0,0.4
2025年4月,87.0,356.7,-4.5,1.9
2025年3月,107.61772,279.71285,2.4,6.2
2025年2月,,171.4,,8.5
2024年9月,108.26476,813.66336,2.0,1.0
2024年8月,94.23444,718.08968,-2.2,0.4
2024年7月,82.52767,612.0161,-6.3,0.3
2024年6月,92.93728,540.36624,-0.5,3.5
2024年12月,113.73497,1150.36213,5.4,2.1
2024年11月,106.50612,1037.58083,4.4,2.2
2024年10月,105.92978,916.31255,2.2,0.8
