时间,原油加工量产量_当期值,原油加工量产量_累计值,原油加工量产量_同比增长,原油加工量产量_累计增长
2025年5月,5911.1,29936.8,-1.8,0.3
2025年4月,5803.4,24026.8,-1.4,0.8
2025年3月,6305.8,18224.8,0.4,1.6
2024年12月,5935.5,70843.4,0.6,-1.6
2024年11月,5851.2,64909.8,0.2,-1.8
2024年10月,5953.8,59058.6,-4.6,-2.0
2024年9月,5872.7,53126.0,-5.4,-1.6
2024年8月,5906.9,47253.2,-6.2,-1.2
2024年7月,5906.2,41915.1,-6.1,-1.2
2024年6月,5831.8,36008.9,-3.7,-0.4
2025年2月,,11916.9,,2.1
