时间,农村外出务工劳动力,外出务工农村劳动力月均收入
2025年第一季度,18795.0,5012.0
2024年第三季度,19014.0,4893.0
2024年第二季度,18997.0,4828.0
2024年第一季度,18588.0,4853.0
