时间,服务零售额_累计增长
2025年6月,5.3
2025年5月,5.2
2025年4月,5.1
2025年3月,5.0
2025年2月,4.9
2024年9月,6.7
2024年8月,6.9
2024年7月,7.2
2024年6月,7.5
2024年12月,6.2
2024年11月,6.4
2024年10月,6.5
