时间,工业增加值_同比增长,工业增加值_累计增长
2025年5月,5.8,6.3
2025年4月,6.1,6.4
2025年3月,7.7,6.5
2024年12月,6.2,5.8
2024年11月,5.4,5.8
2024年10月,5.3,5.8
2024年9月,5.4,5.8
2024年8月,4.5,5.8
2024年7月,5.1,5.9
2024年6月,5.3,6.0
2025年2月,,5.9
