时间,其他商品零售类值_当期值,其他商品零售类值_累计值,其他商品零售类值_同比增长,其他商品零售类值_累计增长
2025年5月,448.5,2218.4,4.1,8.2
2025年4月,425.4,1774.1,5.8,9.3
2025年3月,491.3,1353.8,11.7,10.5
2024年12月,543.0,5146.0,8.0,4.3
2024年11月,483.6,4640.4,2.7,3.8
2024年10月,461.9,4174.7,9.7,4.0
2024年9月,473.4,3697.4,6.9,3.3
2024年8月,405.2,3207.4,3.7,2.8
2024年7月,395.8,2805.4,3.4,2.7
2024年6月,470.6,2419.8,3.5,2.6
2025年2月,,876.7,,9.8
