时间,造纸和纸制品业出口交货值_当期值,造纸和纸制品业出口交货值_累计值,造纸和纸制品业出口交货值_同比增长,造纸和纸制品业出口交货值_累计增长
2025年5月,64.4,319.7,-0.5,3.2
2025年4月,65.4,253.9,1.1,2.8
2025年3月,69.8,190.0,5.4,3.6
2024年12月,72.5,793.9,3.3,9.4
2024年11月,68.9,722.8,-1.2,10.2
2024年10月,67.4,652.7,7.2,11.3
2024年9月,70.0,584.1,10.1,12.0
2024年8月,68.6,514.2,10.5,12.1
2024年7月,69.2,449.3,10.9,12.0
2024年6月,67.9,380.4,8.8,11.9
2025年2月,,119.1,,1.8
