时间,金属切削机床产量_当期值,金属切削机床产量_累计值,金属切削机床产量_同比增长,金属切削机床产量_累计增长
2025年5月,6.7,33.2,6.3,13.3
2025年4月,7.4,26.4,15.6,16.8
2025年3月,7.4766,18.1508,23.0,20.5
2025年2月,,10.3,,14.4
2024年9月,5.8011,50.5584,1.8,7.2
2024年8月,5.6461,44.6933,9.8,7.7
2024年7月,5.4476,38.7562,8.0,6.6
2024年6月,5.8779,33.3261,1.7,5.7
2024年12月,8.1013,69.4511,35.0,10.5
2024年11月,6.3327,61.189,10.5,8.1
2024年10月,5.9575,56.6855,7.1,7.4
