时间,金属制品业出口交货值_当期值,金属制品业出口交货值_累计值,金属制品业出口交货值_同比增长,金属制品业出口交货值_累计增长
2025年6月,442.4,2474.9,-5.0,2.2
2025年5月,418.6,2036.4,-6.8,4.0
2025年4月,408.1,1618.7,-2.8,7.6
2025年3月,431.3,1190.8,11.9,10.9
2025年2月,,759.5,,11.7
2024年9月,472.4,3796.5,24.4,20.2
2024年8月,482.3,3325.1,28.6,19.8
2024年7月,462.7,2839.2,26.2,18.6
2024年6月,456.4,2377.6,22.1,17.3
2024年12月,509.8,5184.6,28.4,21.2
2024年11月,447.9,4674.1,21.7,20.6
2024年10月,433.3,4228.6,26.2,20.6
