时间,焦炭产量_当期值,焦炭产量_累计值,焦炭产量_同比增长,焦炭产量_累计增长
2025年6月,4170.3,24941.2,-0.2,3.0
2025年5月,4237.6,20722.7,2.4,3.3
2025年4月,4160.0,16443.1,7.1,3.2
2025年3月,4129.4,12326.7,4.1,2.4
2025年2月,,8189.6,,1.6
2024年9月,3932.4,36439.6,-5.3,-1.2
2024年8月,4088.6,32477.9,-2.1,-0.4
2024年7月,4157.6,28343.5,2.7,-0.4
2024年6月,4163.5,24182.1,2.2,-0.9
2024年12月,4148.1,48927.2,0.2,-0.8
2024年11月,4068.2,44670.9,0.6,-0.9
2024年10月,4120.0,40570.8,-0.9,-1.1
