时间,电气机械和器材制造业出口交货值_当期值,电气机械和器材制造业出口交货值_累计值,电气机械和器材制造业出口交货值_同比增长,电气机械和器材制造业出口交货值_累计增长
2025年5月,1458.3,7246.1,3.7,7.2
2025年4月,1543.5,5783.9,8.9,7.9
2025年3月,1602.6,4237.2,11.6,7.5
2024年12月,1517.1,16702.1,10.7,-2.5
2024年11月,1351.8,15168.4,-1.5,-3.7
2024年10月,1286.8,13807.1,-1.1,-3.8
2024年9月,1400.4,12520.5,-1.4,-4.2
2024年8月,1439.9,11109.2,3.5,-4.6
2024年7月,1411.5,9658.3,1.2,-5.6
2024年6月,1491.4,8229.7,-1.7,-6.2
2025年2月,,2634.5,,5.8
