时间,中成药产量_当期值,中成药产量_累计值,中成药产量_同比增长,中成药产量_累计增长
2025年5月,14.3,72.8,-11.7,-13.1
2025年4月,14.5,60.0,-19.0,-13.4
2025年3月,17.3,45.3,-9.9,-11.0
2024年12月,18.9,195.3,-11.7,-7.7
2024年11月,17.8,176.7,-7.8,-7.3
2024年10月,16.2,158.9,-9.0,-7.2
2024年9月,16.0,141.1,-8.0,-8.7
2024年8月,12.2,125.0,-14.7,-7.5
2024年7月,13.4,112.5,-13.0,-7.6
2024年6月,16.8,100.2,-8.7,-5.8
2025年2月,,27.2,,-9.6
