时间,服装居民消费价格指数(上年同期=100),鞋类居民消费价格指数(上年同期=100)
2025年6月,101.5,100.6
2025年5月,101.5,100.5
2025年4月,101.4,100.4
2025年3月,101.4,100.3
2025年2月,101.3,100.2
2024年9月,101.7,100.7
2024年8月,101.7,100.7
2024年7月,101.7,100.8
2024年6月,101.7,100.9
2024年12月,101.6,100.6
2024年11月,101.6,100.6
2024年10月,101.7,100.6
