时间,氧化铝产量_当期值,氧化铝产量_累计值,氧化铝产量_同比增长,氧化铝产量_累计增长
2025年5月,748.8,3740.1,5.0,9.5
2025年4月,732.3,2991.9,6.7,10.7
2025年3月,747.5211,2259.59108,10.3,12.0
2024年12月,750.75346,8552.22702,10.1,3.9
2024年11月,755.67659,7809.38935,8.3,3.4
2024年10月,743.3513,7068.95916,5.4,2.9
2024年9月,731.07407,6312.78463,3.3,2.4
2024年8月,733.63991,5588.06527,3.5,2.4
2024年7月,720.51622,4852.77042,3.9,2.2
2024年6月,719.28395,4132.67533,1.4,1.8
2025年2月,,1513.3,,13.1
