时间,原煤产量_当期值,原煤产量_累计值,原煤产量_同比增长,原煤产量_累计增长
2025年5月,40328.4,198537.2,4.2,6.0
2025年4月,38930.6,158473.8,3.8,6.6
2025年3月,44058.2,120260.1,9.6,8.1
2024年12月,43884.8,475896.2,4.2,1.3
2024年11月,42798.4,432193.8,1.8,1.2
2024年10月,41180.3,389206.7,4.6,1.2
2024年9月,41445.9,347577.1,4.4,0.6
2024年8月,39654.5,305218.0,2.8,-0.3
2024年7月,39036.6,265693.1,2.8,-0.8
2024年6月,40538.2,226550.9,3.6,-1.7
2025年2月,,76532.8,,7.7
