时间,建筑业企业单位数_累计值,直接从事生产经营活动的平均人数_累计值,按总产值计算的劳动生产率_累计值,人均竣工产值_累计值,人均施工面积_累计值,建筑业企业人员数_累计值
2025年第二季度,154218.0,4232.36,323095.0,109679.0,223.5,
2025年第一季度,140617.0,3697.0,156135.0,57619.0,224.9,
2024年第四季度,168011.0,5962.07,547630.0,226832.0,229.5,
2024年第二季度,151901.0,4700.85,294227.0,102602.0,234.8,3820.74
2024年第三季度,160065.0,5371.28,404765.0,144625.0,229.7,4189.7
2024年第一季度,138939.0,3962.33,143025.0,55743.0,236.9,3358.83
