时间,石脑油产量_当期值,石脑油产量_累计值,石脑油产量_同比增长,石脑油产量_累计增长
2025年5月,630.9,3243.6,0.5,-1.2
2025年4月,623.8,2612.7,-4.4,-1.6
2025年3月,674.4,1988.5,-0.6,-0.7
2024年12月,714.4,8073.6,-2.2,3.6
2024年11月,687.9,7359.3,-2.5,4.2
2024年10月,702.4,6626.7,0.9,4.9
2024年9月,663.2,5924.3,2.6,5.4
2024年8月,676.1,5258.5,6.9,5.4
2024年7月,668.8,4595.9,3.5,4.7
2024年6月,624.6,3927.0,-10.5,8.4
2025年2月,,1315.0,,-1.0
