时间,纺织业出口交货值_当期值,纺织业出口交货值_累计值,纺织业出口交货值_同比增长,纺织业出口交货值_累计增长
2025年5月,208.5,1034.2,-4.4,2.6
2025年4月,220.1,824.5,1.3,3.9
2025年3月,220.9,605.4,8.3,5.7
2024年12月,245.4,2582.8,13.6,5.2
2024年11月,218.1,2330.3,5.7,4.4
2024年10月,220.4,2097.2,8.3,3.4
2024年9月,221.4,1887.7,0.5,1.9
2024年8月,221.5,1666.4,2.9,1.9
2024年7月,220.5,1442.3,6.5,1.8
2024年6月,218.3,1221.5,1.3,1.2
2025年2月,,383.3,,5.1
