时间,国有及国有控股建筑业企业建筑业总产值_累计值,国有及国有控股建筑业企业建筑工程产值_累计值,国有及国有控股建筑业企业安装工程产值_累计值,国有及国有控股建筑业企业其他产值_累计值,国有及国有控股建筑业企业装饰装修产值_累计值,国有及国有控股建筑业企业在外省完成的产值_累计值,国有及国有控股建筑业企业建筑业竣工产值_累计值
2024年第四季度,140738.71,127098.7,10209.39,3430.62,3255.83,64870.12,47505.21
2024年第三季度,95446.63,86585.79,6756.25,2104.59,2237.82,44887.35,25747.72
2024年第二季度,61498.72,55755.88,4322.63,1420.2,1434.77,28995.62,15642.77
2024年第一季度,23653.08,21275.17,1788.0,589.91,597.98,11264.09,6959.54
2023年第四季度,134075.49,121046.26,9814.66,3214.57,3075.05,62725.76,46826.96
