时间,乙烯产量_当期值,乙烯产量_累计值,乙烯产量_同比增长,乙烯产量_累计增长
2025年6月,284.92852,1814.37427,5.8,10.9
2025年5月,303.0,1529.4,14.4,11.9
2025年4月,297.5,1220.0,10.1,7.3
2025年3月,318.97274,922.55684,6.1,6.4
2025年2月,,658.2,,17.6
2024年9月,266.8969,2409.6775,-1.3,-0.7
2024年8月,273.98233,2142.89834,-1.5,-0.6
2024年7月,277.32747,1870.36738,8.6,-0.4
2024年6月,260.91586,1592.74231,3.3,-1.8
2024年12月,311.81371,3493.37411,3.8,0.7
2024年11月,284.4073,3108.38789,-1.7,0.3
2024年10月,272.57102,2683.19432,-5.5,-1.2
