时间,化学农药原药（折有效成分100％）产量_当期值,化学农药原药（折有效成分100％）产量_累计值,化学农药原药（折有效成分100％）产量_同比增长,化学农药原药（折有效成分100％）产量_累计增长
2025年5月,37.8,169.2,9.2,7.8
2025年4月,35.1,131.4,10.0,7.5
2025年3月,36.36066,98.79324,3.4,6.9
2024年12月,33.45414,367.53112,11.3,22.2
2024年11月,30.58974,337.92908,10.5,23.5
2024年10月,29.23786,309.86075,2.8,22.6
2024年9月,28.15457,280.40638,5.6,25.3
2024年8月,28.21572,251.91152,12.4,27.9
2024年7月,29.0547,221.2614,28.8,30.6
2024年6月,33.39689,190.01942,36.9,31.0
2025年2月,,60.7,,5.9
