时间,居民人均可支配收入_累计值,居民人均可支配收入_累计增长,居民人均可支配收入中位数_累计值,居民人均可支配收入中位数_累计增长,居民人均可支配工资性收入_累计值,居民人均可支配工资性收入_累计增长,居民人均可支配经营净收入_累计值,居民人均可支配经营净收入_累计增长,居民人均可支配财产净收入_累计值,居民人均可支配财产净收入_累计增长,居民人均可支配转移净收入_累计值,居民人均可支配转移净收入_累计增长
2025年第一季度,12179.2635,5.6056056056,9939.2857143,5.0442370989,6975.7879,5.9294217391,2070.9804,5.7125326941,1015.0284,2.7282753235,2117.4668,5.5040757349
2024年第四季度,41313.9863,5.1342492031,34706.8945454545,5.0592126009,23327.3684,5.7793074555,6907.5747,5.5860766373,3434.8829,2.1674940731,7644.1603,5.2773822499
2024年第二季度,20733.0,5.3,17358.0,5.9,11950.0,5.8,3235.0,6.4,1780.0,2.1,3768.0,5.0
2024年第三季度,30941.0,4.9,25978.0,5.9,17696.0,5.7,4939.0,6.4,2585.0,1.2,5721.0,4.9
2024年第一季度,11539.0,6.2,9462.0,6.4,6585.0,6.8,1959.0,6.8,988.0,3.2,2007.0,4.8
2023年第四季度,39218.0,6.1,33036.0,5.3,22053.0,7.1,6542.0,6.0,3362.0,4.2,7261.0,5.4
