时间,金属冶炼设备产量_当期值,金属冶炼设备产量_累计值,金属冶炼设备产量_同比增长,金属冶炼设备产量_累计增长
2025年5月,55443.4,260982.9,-9.2,-19.7
2025年4月,47184.9,205134.3,-15.0,-22.5
2025年3月,61640.8,158736.8,-20.6,-24.7
2024年12月,73798.6,787700.5,6.0,-4.9
2024年11月,61314.7,712842.6,-4.2,-5.6
2024年10月,64005.9,767114.2,-6.6,11.6
2024年9月,70883.3,700216.8,-1.1,13.2
2024年8月,65705.8,628859.5,2.4,14.5
2024年7月,59665.4,566612.6,-16.2,15.5
2024年6月,69216.4,516932.9,-9.4,19.7
2025年2月,,102323.6,,-22.8
