时间,日用杂品制造工业生产者出厂价格指数(上年同月=100),其他未列明制造业工业生产者出厂价格指数(上年同月=100)
2025年6月,99.4,102.3
2025年5月,99.9,99.1
2025年4月,99.6,99.3
2025年3月,99.8,99.4
2025年2月,99.8,98.8
2025年1月,99.2,99.1
2024年12月,99.8,100.3
2024年11月,99.5,100.1
2024年10月,99.7,100.5
2024年9月,100.3,100.9
2024年8月,100.8,100.3
2024年7月,100.6,100.4
2024年6月,100.4,99.6
