时间,烟叶复烤工业生产者出厂价格指数(上年同月=100),卷烟制造工业生产者出厂价格指数(上年同月=100),其他烟草制品制造工业生产者出厂价格指数(上年同月=100)
2025年6月,99.7,100.4,95.6
2025年5月,99.7,100.4,95.2
2025年4月,99.7,100.4,96.5
2025年3月,99.8,100.6,96.4
2025年2月,99.8,100.6,96.4
2025年1月,100.3,100.5,97.8
2024年9月,99.5,100.3,97.5
2024年8月,99.5,100.3,97.5
2024年7月,99.5,100.3,97.5
2024年6月,99.5,101.1,101.5
2024年12月,99.8,100.3,99.9
2024年11月,99.5,100.3,97.5
2024年10月,99.5,100.3,97.5
