时间,服务机器人产量_当期值,服务机器人产量_累计值,服务机器人产量_同比增长,服务机器人产量_累计增长
2025年5月,1216396.0,5305886.0,13.8,14.0
2025年4月,982862.0,3587115.0,-3.4,12.5
2025年3月,1093097.0,2604433.0,2.2,20.0
2024年12月,918596.0,10519259.0,5.8,15.6
2024年11月,940712.0,9745687.0,10.8,17.0
2024年10月,870880.0,8711922.0,-12.8,18.0
2024年9月,1098963.0,7833854.0,9.3,22.8
2024年8月,989470.0,6744466.0,20.1,25.4
2024年7月,879091.0,5754441.0,41.6,26.3
2024年6月,846704.0,4876269.0,12.5,22.8
2025年2月,,1494034.0,,35.7
