时间,汽车制造业出口交货值_当期值,汽车制造业出口交货值_累计值,汽车制造业出口交货值_同比增长,汽车制造业出口交货值_累计增长
2025年6月,868.6,4910.3,10.5,4.7
2025年5月,890.5,4032.0,4.1,3.9
2025年4月,870.2,3144.3,1.9,3.8
2025年3月,819.6,2268.1,2.0,4.6
2025年2月,,1447.2,,5.9
2024年9月,839.6,6988.7,16.1,17.1
2024年8月,775.3,6138.5,15.9,17.1
2024年7月,749.2,5354.1,13.0,18.6
2024年6月,795.0,4589.5,20.8,19.6
2024年12月,847.2,9666.6,13.0,17.5
2024年11月,770.7,8628.0,9.4,15.5
2024年10月,786.0,7767.3,10.0,16.2
