时间,液化石油气产量_当期值,液化石油气产量_累计值,液化石油气产量_同比增长,液化石油气产量_累计增长
2025年5月,424.8,2190.0,-7.0,-2.2
2025年4月,408.4,1765.3,0.0,-1.0
2025年3月,451.5,1357.0,-2.8,-1.5
2024年12月,469.3,5418.0,6.1,5.0
2024年11月,441.9,4953.0,6.4,5.0
2024年10月,457.0,4508.6,2.5,4.6
2024年9月,449.4,4050.1,2.4,4.8
2024年8月,453.3,3600.7,2.4,5.3
2024年7月,451.9,3152.1,4.4,5.3
2024年6月,457.8,2700.2,9.0,5.7
2025年2月,,904.6,,-0.9
