时间,饲料生产专用设备产量_当期值,饲料生产专用设备产量_累计值,饲料生产专用设备产量_同比增长,饲料生产专用设备产量_累计增长
2025年5月,827.0,3634.0,-2.4,-53.1
2025年4月,782.0,2807.0,0.3,-60.7
2025年3月,742.0,2025.0,-59.6,-68.2
2024年12月,5893.0,83162.0,-41.5,-30.0
2024年11月,6973.0,77269.0,-25.8,-28.4
2024年10月,6347.0,70963.0,-58.6,-27.8
2024年9月,4204.0,64620.0,-69.0,-22.0
2024年8月,5284.0,60580.0,-35.0,-13.0
2024年7月,5302.0,55308.0,-63.2,-10.0
2024年6月,12633.0,50134.0,-16.8,6.5
2025年2月,,1506.0,,-68.3
