时间,非金属矿采选业出口交货值_当期值,非金属矿采选业出口交货值_累计值,非金属矿采选业出口交货值_同比增长,非金属矿采选业出口交货值_累计增长
2025年5月,2.7,14.9,0.2,8.7
2025年4月,3.0,12.2,1.9,8.5
2025年3月,4.1,9.3,24.5,11.0
2024年12月,3.4,33.7,28.3,6.9
2024年11月,2.9,30.1,8.5,6.8
2024年10月,2.7,27.2,-1.9,6.1
2024年9月,3.0,24.5,22.3,8.2
2024年8月,2.5,21.6,-6.4,6.8
2024年7月,2.7,19.1,14.9,8.8
2024年6月,3.0,17.2,12.6,12.4
2025年2月,,5.0,,-9.8
