时间,家具类商品零售类值_当期值,家具类商品零售类值_累计值,家具类商品零售类值_同比增长,家具类商品零售类值_累计增长
2025年5月,170.1,757.4,25.6,21.4
2025年4月,152.8,583.4,26.9,20.2
2025年3月,168.1,428.9,29.5,18.1
2024年12月,193.6,1691.1,8.8,3.6
2024年11月,189.8,1504.9,10.5,2.9
2024年10月,151.9,1303.0,7.4,1.9
2024年9月,142.0,1142.8,0.4,1.1
2024年8月,129.0,979.2,-3.7,1.3
2024年7月,129.0,850.5,-1.1,2.0
2024年6月,148.1,720.6,1.1,2.6
2025年2月,,262.1,,11.7
