时间,水的生产和供应业出口交货值_当期值,水的生产和供应业出口交货值_累计值,水的生产和供应业出口交货值_同比增长,水的生产和供应业出口交货值_累计增长
2025年5月,4.8,23.5,-0.2,-0.2
2025年4月,4.7,19.0,-0.2,1.1
2025年3月,4.7,14.2,-1.2,-0.6
2024年12月,0.3,51.2,-24.2,2.9
2024年11月,4.6,51.3,-0.9,4.0
2024年10月,4.5,46.3,1.0,4.4
2024年9月,4.6,41.7,1.6,4.4
2024年8月,4.6,37.2,1.6,5.0
2024年7月,4.7,32.8,2.5,6.8
2024年6月,4.7,28.0,3.7,6.7
2025年2月,,9.6,,-1.6
