时间,教育服务居民消费价格指数(上年同月=100),旅游居民消费价格指数(上年同月=100)
2025年6月,101.2,100.8
2025年5月,101.2,100.9
2025年4月,101.2,99.5
2025年3月,101.2,99.1
2025年2月,101.3,90.4
2025年1月,101.2,107.0
2024年9月,101.2,97.9
2024年8月,101.7,100.9
2024年7月,101.8,103.1
2024年6月,101.8,103.7
2024年12月,101.2,99.9
2024年11月,101.2,99.8
2024年10月,101.2,99.6
