时间,水泥专用设备产量_当期值,水泥专用设备产量_累计值,水泥专用设备产量_同比增长,水泥专用设备产量_累计增长
2025年6月,20331.8,150649.3,6.8,7.9
2025年5月,19001.3,130360.8,48.3,8.0
2025年4月,20853.5,111357.7,-11.8,-0.7
2025年3月,32346.6,90505.2,-3.6,2.3
2025年2月,,56546.4,,3.0
2024年9月,27280.0,222004.3,4.3,-24.8
2024年8月,30613.8,194724.8,-6.4,-27.7
2024年7月,24471.7,164111.9,-19.3,-30.7
2024年6月,18739.9,139342.9,-49.4,-32.7
2024年12月,38918.6,321992.6,15.7,-18.0
2024年11月,34382.2,283066.5,12.5,-21.2
2024年10月,26648.6,248853.8,-9.0,-23.5
