时间,煤气产量_当期值,煤气产量_累计值,煤气产量_同比增长,煤气产量_累计增长
2025年6月,1433.3,8508.1,-0.2,1.9
2025年5月,1458.6,7070.5,0.5,2.5
2025年4月,1425.0,5615.3,4.8,3.1
2025年3月,1455.4,4186.5,4.7,2.6
2025年2月,,2729.4,,1.4
2024年9月,1308.2,12398.5,-7.8,-3.6
2024年8月,1346.5,11091.6,-7.4,-3.1
2024年7月,1396.5,9740.3,-5.1,-2.6
2024年6月,1434.4,8342.8,-0.8,-2.0
2024年12月,1343.5,16453.4,7.1,-2.0
2024年11月,1326.1,15097.3,1.8,-2.8
2024年10月,1369.6,13767.1,0.0,-3.3
