时间,规模以上文化及相关产业企业营业收入_累计值,规模以上文化及相关产业企业营业收入_累计增长,规模以上新闻信息服务营业收入_累计值,规模以上新闻信息服务营业收入_累计增长,规模以上内容创作生产营业收入_累计值,规模以上内容创作生产营业收入_累计增长,规模以上创意设计服务营业收入_累计值,规模以上创意设计服务营业收入_累计增长,规模以上文化传播渠道营业收入_累计值,规模以上文化传播渠道营业收入_累计增长,规模以上文化投资运营营业收入_累计值,规模以上文化投资运营营业收入_累计增长,规模以上文化娱乐休闲服务营业收入_累计值,规模以上文化娱乐休闲服务营业收入_累计增长,规模以上文化辅助生产和中介服务营业收入_累计值,规模以上文化辅助生产和中介服务营业收入_累计增长,规模以上文化装备生产营业收入_累计值,规模以上文化装备生产营业收入_累计增长,规模以上文化消费终端生产营业收入_累计值,规模以上文化消费终端生产营业收入_累计增长
2025年第一季度,33939.0,6.2,4716.0,10.5,7763.0,7.5,5918.0,8.6,4206.0,1.4,110.0,-0.2,406.0,4.1,3679.0,0.2,1436.0,3.3,5704.0,7.3
2024年第四季度,141510.0,6.0,18823.0,8.8,31258.0,6.9,24148.0,6.8,15741.0,1.6,758.0,9.1,1917.0,4.9,16665.0,5.5,6869.0,9.3,25331.0,4.6
2024年第三季度,99668.0,5.9,13278.0,8.2,22175.0,7.2,16694.0,5.8,11500.0,3.8,416.0,6.9,1382.0,2.3,11768.0,5.3,4817.0,10.0,17636.0,3.8
2024年第二季度,64961.0,7.5,8768.0,9.8,14628.0,10.2,10958.0,6.7,7818.0,6.1,319.0,6.1,819.0,5.8,7589.0,7.0,3007.0,10.4,11054.0,3.7
2024年第一季度,31057.0,8.5,4101.0,11.1,7054.0,12.0,5219.0,10.4,4026.0,6.8,145.0,10.4,375.0,10.5,3583.0,7.3,1378.0,6.0,5175.0,2.7
2023年第四季度,129515.0,8.2,17243.0,15.5,28262.0,10.7,21249.0,8.7,14797.0,11.9,669.0,24.4,1758.0,63.2,15468.0,0.4,6282.0,-2.6,23787.0,3.3
