时间,工业生产者出厂价格指数(上年同期=100),生产资料工业生产者出厂价格指数(上年同期=100),生活资料工业生产者出厂价格指数(上年同期=100)
2025年6月,97.2,96.8,98.6
2025年5月,97.4,97.0,98.6
2025年4月,97.6,97.3,98.6
2025年3月,97.7,97.4,98.7
2025年2月,97.8,97.4,98.8
2025年1月,97.7,97.4,98.8
2024年9月,98.0,97.6,99.0
2024年8月,98.1,97.7,99.1
2024年7月,98.0,97.7,99.1
2024年6月,97.9,97.4,99.1
2024年12月,97.8,97.5,98.9
2024年11月,97.9,97.5,98.9
2024年10月,97.8931,97.5,99.0
