时间,石油和天然气开采业出口交货值_当期值,石油和天然气开采业出口交货值_累计值,石油和天然气开采业出口交货值_同比增长,石油和天然气开采业出口交货值_累计增长
2025年6月,4.0,21.4,-12.8,-17.5
2025年5月,4.5,17.4,-5.5,-18.5
2025年4月,4.3,12.9,-0.6,-22.3
2025年3月,3.5,8.6,-21.6,-30.0
2025年2月,,5.1,,-35.5
2024年9月,4.2,39.8,-6.7,-1.0
2024年8月,4.7,35.6,5.7,-0.3
2024年7月,4.9,30.9,5.7,-1.2
2024年6月,4.6,26.0,227.7,147.6
2024年12月,2.5,52.0,-46.7,-4.6
2024年11月,4.3,49.3,-6.2,-0.8
2024年10月,4.8,45.1,-3.3,-0.2
