时间,工业产能利用率_煤炭开采和洗选业_当季值,工业产能利用率_煤炭开采和洗选业_比上年同期增减,工业产能利用率_石油和天然气开采业_当季值,工业产能利用率_石油和天然气开采业_比上年同期增减,工业产能利用率_食品制造业_当季值,工业产能利用率_食品制造业_比上年同期增减,工业产能利用率_纺织业_当季值,工业产能利用率_纺织业_比上年同期增减,工业产能利用率_化学原料和化学制品制造业_当季值,工业产能利用率_化学原料和化学制品制造业_比上年同期增减,工业产能利用率_医药制造业_当季值,工业产能利用率_医药制造业_比上年同期增减,工业产能利用率_化学纤维制造业_当季值,工业产能利用率_化学纤维制造业_比上年同期增减,工业产能利用率_非金属矿物制品业_当季值,工业产能利用率_非金属矿物制品业_比上年同期增减,工业产能利用率_黑色金属冶炼和压延加工业 _当季值,工业产能利用率_黑色金属冶炼和压延加工业 _比上年同期增减,工业产能利用率_有色金属冶炼和压延加工业_当季值,工业产能利用率_有色金属冶炼和压延加工业_比上年同期增减,工业产能利用率_通用设备制造业_当季值,工业产能利用率_通用设备制造业_比上年同期增减,工业产能利用率_专用设备制造业_当季值,工业产能利用率_专用设备制造业_比上年同期增减,工业产能利用率_汽车制造业_当季值,工业产能利用率_汽车制造业_比上年同期增减,工业产能利用率_电气机械和器材制造业 _当季值,工业产能利用率_电气机械和器材制造业 _比上年同期增减,工业产能利用率_计算机、通信和其他电子设备制造业_当季值,工业产能利用率_计算机、通信和其他电子设备制造业_比上年同期增减,工业产能利用率_煤炭开采和洗选业_累计值,工业产能利用率_煤炭开采和洗选业_比上年同期累计增减,工业产能利用率_石油和天然气开采业_累计值,工业产能利用率_石油和天然气开采业_比上年同期累计增减,工业产能利用率_食品制造业_累计值,工业产能利用率_食品制造业_比上年同期累计增减,工业产能利用率_纺织业_累计值,工业产能利用率_纺织业_比上年同期累计增减,工业产能利用率_化学原料和化学制品制造业_累计值,工业产能利用率_化学原料和化学制品制造业_比上年同期累计增减,工业产能利用率_医药制造业_累计值,工业产能利用率_医药制造业_比上年同期累计增减,工业产能利用率_化学纤维制造业_累计值,工业产能利用率_化学纤维制造业_比上年同期累计增减,工业产能利用率_非金属矿物制品业_累计值,工业产能利用率_非金属矿物制品业_比上年同期累计增减,工业产能利用率_黑色金属冶炼和压延加工业 _累计值,工业产能利用率_黑色金属冶炼和压延加工业 _比上年同期累计增减,工业产能利用率_有色金属冶炼和压延加工业_累计值,工业产能利用率_有色金属冶炼和压延加工业_比上年同期累计增减,工业产能利用率_通用设备制造业_累计值,工业产能利用率_通用设备制造业_比上年同期累计增减,工业产能利用率_专用设备制造业_累计值,工业产能利用率_专用设备制造业_比上年同期累计增减,工业产能利用率_汽车制造业_累计值,工业产能利用率_汽车制造业_比上年同期累计增减,工业产能利用率_电气机械和器材制造业 _累计值,工业产能利用率_电气机械和器材制造业 _比上年同期累计增减,工业产能利用率_计算机、通信和其他电子设备制造业_累计值,工业产能利用率_计算机、通信和其他电子设备制造业_比上年同期累计增减
2025年第一季度,71.8818412,0.3,92.3985679,0.7,69.2936026,0.2,77.8412048,-0.2,73.493028,-2.9,72.5398534,-3.5,86.287619,0.7,60.9429154,-1.1,79.3443123,2.0,77.4632049,-0.7,78.0609516,-0.1,75.5505769,-1.4,71.9031831,7.0,71.6755242,-1.0,74.7446949,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024年第四季度,73.9,-1.7,91.8,-0.3,70.7,-0.6,78.8,2.6,76.4,-0.3,75.9,0.5,85.6,-0.1,61.1,-3.6,78.1,1.7,79.3,-0.3,79.6,0.4,76.7,-0.8,77.2,0.3,76.8,-0.3,79.4,1.8,72.8,-1.6,91.4,0.0,69.8,-0.5,78.5,2.1,76.3,1.0,75.3,0.4,85.4,1.1,62.2,-2.5,78.1,-0.1,78.8,-0.7,79.0,-0.2,76.5,-1.0,72.2,-2.4,75.1,-1.9,77.2,1.5
2024年第二季度,72.8,-1.7,91.8,0.9,68.8,0.7,79.1,2.2,76.4,2.1,75.3,-0.9,85.0,0.9,64.2,-0.9,79.7,0.7,79.1,-1.2,79.4,-0.3,76.5,-1.6,73.0,-0.3,74.7,-2.4,76.2,1.6,72.2,-1.9,91.8,0.8,68.9,-0.5,78.6,2.4,76.4,1.5,75.6,-0.1,85.3,2.1,63.1,-1.4,78.5,0.0,78.7,-0.3,78.8,-0.6,76.7,-0.8,68.8,-3.9,73.8,-2.7,75.5,1.3
2024年第三季度,72.7,-1.1,90.2,-1.0,70.7,-0.4,77.9,1.0,76.0,1.4,73.8,1.1,85.5,0.4,61.7,-3.3,77.4,-1.7,78.4,-1.8,78.7,0.0,75.8,-1.7,73.2,-2.4,75.6,-2.2,77.9,1.4,72.3,-1.7,91.3,0.2,69.5,-0.4,78.3,1.9,76.3,1.5,75.1,0.3,85.4,1.6,62.6,-2.1,78.2,-0.5,78.6,-0.8,78.8,-0.4,76.4,-1.1,70.3,-3.4,74.4,-2.5,76.3,1.3
2024年第一季度,71.6,-2.2,91.7,0.5,69.1,-1.6,78.0,2.5,76.4,0.9,76.0,0.8,85.6,3.5,62.0,-1.9,77.3,-0.8,78.2,0.4,78.2,-0.9,77.0,0.0,64.9,-7.1,72.7,-3.1,74.7,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023年第四季度,75.6,0.2,92.1,0.8,71.3,-0.6,76.2,0.0,76.7,0.7,75.4,-2.2,85.7,6.5,64.7,-2.5,76.4,2.9,79.6,0.2,79.2,-0.1,77.5,0.0,76.9,3.7,77.1,-1.9,77.6,-0.9,74.4,-0.5,91.4,-0.6,70.3,-1.4,76.4,-0.8,75.3,-1.4,74.9,-0.7,84.3,2.0,64.7,-2.3,78.2,1.9,79.5,0.2,79.2,0.0,77.5,-0.1,74.6,1.9,77.0,-0.3,75.7,-2.1
