时间,纱产量_当期值,纱产量_累计值,纱产量_同比增长,纱产量_累计增长
2025年6月,206.50106,1139.75615,4.9,5.0
2025年5月,195.1,936.8,3.0,4.9
2025年4月,198.7,754.5,5.6,7.0
2025年3月,217.05223,565.0242,7.8,8.1
2025年2月,,341.5,,4.1
2024年9月,198.09851,1655.2014,1.1,-1.4
2024年8月,188.17528,1458.44682,-0.5,-1.4
2024年7月,188.88581,1277.16947,0.9,-1.2
2024年6月,195.36348,1086.64881,-3.0,-1.5
2024年12月,216.83574,2277.90149,6.9,1.3
2024年11月,211.72624,2059.00055,7.8,0.3
2024年10月,196.98798,1854.44984,0.3,-0.9
